,year,artist,song
8398,1999,Guns N' Roses,Oh My God
8399,2007,Voxtrot,Introduction
8400,2005,1349,Slaves to Slaughter
8401,2007,The Gena Rowlands Band,Althea
8402,2006,Wednesday 13,Morgue Than Words (Album Version)
8403,2007,August Burns Red,Back Burner
8404,2006,Delaney & Bonnie,A Long Road Ahead
8405,1996,Humate,Sound (Parboiled Edit)
8406,2006,Lil Scrappy,G-S*** [Featuring Olivia] (Album Version)
8407,1993,X-Press 2,London Xpress
8408,1998,Ec8or,Stick To The Sight
8409,2009,The Wave Pictures,Bye Bye Bubble Belly
8410,2006,The Little Killers,You Better Be Right
8411,2009,The Rifles,Science In Violence
8412,2003,Lumidee,My Last Thug
8413,2001,Chris Murray,Boyo
8414,2006,Tommy Bolin,People People
8415,2000,DJ Icey & Plump DJ's,The Push (LP Version)
8416,2005,Foo Fighters,I'm In Love With A German Film Star
8417,2004,Xiii. Stoleti,Bela Lugosi's Dead (industrial dance version)
8418,2009,Stuurbaard Bakkebaard,Is Your Mama Gone?
8419,1991,Percy Sledge,If Loving You Is Wrong
8420,1994,Massive Attack,Sly (7'' Edit)
8421,2007,DevilDriver,These Fighting Words [Explicit]
8422,2009,Tinchy Stryder,Story Unfold
8423,2009,Chris Isaak,Cheater's Town (Album Version)
8424,2005,MYSTIC PROPHECY,Dust of evil
8425,2007,James Blunt,I Really Want You  (Acoustic Version)
8426,2005,Brian Setzer,Put Your Cat Clothes On
8427,2006,VCR,Thin
8428,1994,Arthur Russell,Another Thought (My Tiger_ My Timing)
8429,2000,New Bomb Turks,Continental Cats
8430,2009,We Fell To Earth,Spin This Town
8431,2006,Rue De La Muette,Au contraire
8432,2000,Banda Eva,Quero Te Pedir (Não Vá Embora)
8433,2005,Anthony Callea,Take It To The Heart
8434,1992,Paralysed Age,Exile
8435,2002,Antibalas,Nesta. 75
8436,2007,City Sleeps,Ordinary High
8437,2007,Anberlin,Adelaide
8438,1999,Filippa Giordano,Il Rosso Amore
8439,2008,The Sight Below,Further Away
8440,2003,The Stingers ATX,Stop Thinkin'
8441,2009,Green Day,Christian's Inferno (Album Version)
8442,1999,Hortense Ellis,Loving Arms
8443,2005,Ryan Adams & The Cardinals,Don't Fail Me Now
8444,2007,Rivers Cuomo,Lemonade
8445,2008,Giuseppe Ielasi,Stunt Part 4
8446,2009,Chairlift,Le Flying Saucer Hat
8447,1999,Ursula 1000,Soft Landing
8448,2007,Echoes Of Eternity,Burning With Life
8449,2005,John Legend featuring The Stephens Family,It Don't Have To Change
8450,2006,Mondo Generator,I Never Sleep
8451,2001,Eivind Aarset,Dust Kittens
8452,2005,Gilli Moon,Bye (Italian Version)
8453,2002,Stranger & Patsy,Down By The Train Line
8454,1997,M People,Just For You
8455,1995,Shaggy,Boombastic
8456,1991,The Blue Aeroplanes,Angel Words
8457,2009,Spinal Tap,Back From The Dead
8458,2009,Jahdan Blakkamoore,Let's Go
8459,2005,YOURCODENAMEIS:MILO,Undone
8460,2005,Luke Doucet,Wallow
8461,2001,Von Hertzen Brothers,Introduction
8462,2009,Slow Club,When I Go
8463,2001,Dax Riders,Real Fonky Time
8464,2008,Kettcar,Graceland (Computer Remix)
8465,2009,Helium Vola,Nummus
8466,1993,The Woggles,My Baby Likes To Boogaloo
8467,2009,Elin Lanto,Discotheque
8468,2004,Bobby Mitchell,Rack 'Em Back
8469,2007,Kelly Clarkson,Never Again
8470,1999,Theatres Des Vampires,Cursed
8471,2004,Speedstar,Unbreakable
8472,1998,Marcus Miller,Maputo
8473,1999,Giorgia,Voglio Solo Te
8474,2002,Der Plan,Wir Werden Immer Mehr
8475,2007,Samim & Michal,Circles
8476,2009,Tinariwen,Tamudjeras Assis
8477,1992,Oliver Onions,Cock A Doodle Doo (Sie Nannten Ihn Mücke)
8478,2008,Lil Mama,Intro
8479,2007,Robert Rodriguez,El Wray
8480,2004,Agnostic Front,Take Me Back
8481,1996,And Also the Trees,Paradiso
8482,2000,One More Time,Den Vilda
8483,2001,Randy Crawford,When I Get Over You
8484,2001,DJ Clue / DMX,Who's Next (X-Clue-Sive) (feat. DMX)
8485,2007,Pain of Salvation,Kingdom of Loss
8486,2008,The Five Blind Boys Of Mississippi,Whisper A Prayer
8487,2000,Ratty,Sunrise (Club Mix)
8488,1990,J.C. Lodge,Sweet Dreams
8489,2003,Say Anything,I Want To Know Your Plans
8490,2002,AZ,Wanna Be There
8491,2001,Gianmaria Testa,Sono Belle Le Cose
8492,1996,Olga tanon,No Te Vas
8493,1999,Solar Twins,Better Life (Album Version)
8494,2008,Madvillain,Savage Beast (Instrumental)
8495,2007,MORS PRINCIPIUM EST,Terminal liberation
8496,2004,Third Day,I Got A Feeling
8497,2004,Stockholm Cyclo,Movin Your Mind
8498,1992,Throwing Muses,Stand Up/Dovey/Mexican Woman (live)
8499,1997,Brian Jonestown Massacre,This is Why You Love Me
8500,2006,Twisted Sister,I Saw Mommy Kissing Santa Claus
8501,1994,Gary Chapman,Floodgates Of Love
8502,2008,Rubin Steiner,Hope to see you at Total Heaven
8503,2006,Corinne Bailey Rae,Butterfly
8504,2002,Bombshell Rocks,Out Of The Cold
8505,1999,INDK,Rent For Sale
8506,1995,Bad Brains,Darling I Need You  (Album Version)
8507,2010,Eason Chan,Wu Ren Zhi Jing
8508,1998,Let's Go Bowling,More Than a Person
8509,1992,Trio Los Panchos,Ladrona De Besos
8510,2006,Bertine Zetlitz,500
8511,2008,The Classic Crime,5805
8512,2006,The Hold Steady,Chips Ahoy
8513,2002,Joey Tempest,Superhuman
8514,2004,Byther Smith,Never Stopped Loving You
8515,2001,Ultrabeat,I Can Fly
8516,1997,Scorn,Exodus (Sabres Of Paradise Mix 3)
8517,2005,The Skygreen Leopards,Mother The Son Makes Me Cry
8518,2006,Dear Nora,Nora in Berlin
8519,1997,Alphaville,Guardian  Angel
8520,1998,Diesel Boy,All The Mayors of Roadsville
8521,2002,Justincase,Inside Your Mind (Album Version)
8522,2009,Zombie Nation,The Fact
8523,2005,Steve Porter,Electric Jelly
8524,2000,Black Label Society,Phoney Smiles & Fake Hellos
8525,1992,John Patitucci,Miniature #4 - Marionette
8526,2005,Living Things,Bom Bom Bom
8527,2000,B-Tight,Intro
8528,1997,Shane MacGowan And The Popes,More Pricks Than Kicks
8529,1997,59 Times the Pain,Gutfeeling
8530,2007,Henrik Schwarz,Walk Music
8531,1992,Manix,Rainbow People
8532,2008,Yvonne Fair,Stay A Little Longer
8533,2005,Ismael Serrano,El Vals De Los Jubilados
8534,1999,The Space Brothers,This Is Love
8535,2006,The Chuck Norris Experiment,The Roof Is About To Cave In
8536,2009,A Skylit Drive,Prelude To A Dream
8537,1997,Denis Leary,Save This
8538,2001,Miss Kittin & The Hacker,Frank Sinatra 2001
8539,2003,Peter Schilling,Die Welt verändert sich
8540,2008,Corvus Corax & Bernhard Fabuljan,"Praeludium: ""O Langueo"
8541,2004,Ana Carolina,2 Bicudos
8542,1999,Melanie,Someday I'll Be An Old Record
8543,2003,Kittens for Christian,Bow Legged Bob
8544,2007,Eko Fresh feat. Karim & G-Style,Es tut mir leid
8545,2010,Die Aeronauten,Herz
8546,2006,Terminal Choice,Little Seventeen
8547,1992,Wolfsheim,It's Not Too Late
8548,2001,Betty Harris,Nearer To You
8549,2002,Mudvayne,On The Move
8550,2007,Christopher Just,Moiras Theme
8551,2003,Third Eye Blind,Palm Reader
8552,1993,Billy Joe Shaver,Georgia on a Fast Train
8553,2007,The Honorary Title,The City's Summer (Album Version)
8554,1996,Heatmiser,Half Right
8555,1995,The Jeff Healey Band,Stop Breakin' Down
8556,1998,Sunship,Heaven (Radio Edit)
8557,2001,Mike Vax,Kiss And Run
8558,1999,Saian Supa Crew,Malade Imaginaire
8559,1991,Suzy Bogguss,Someday Soon
8560,2003,Seabound,The Attic
8561,1996,Léo Ferré,Graine d'ananar
8562,2005,Warrior King,Freedom
8563,2005,Jason Mraz,Geek In The Pink (Lilywhite Mix)
8564,1996,Pearl Jam,Habit
8565,2006,Trace Adkins,I Wanna Feel Something
8566,2004,Christine McVie,Friend
8567,2005,Georgie Fame,Ride Your Pony
8568,2009,Revocation,The Tragedy of Modern Ages
8569,2008,American Music Club,Decibels And The Little Pills
8570,1994,Louis Bertignac,Vas-Y Guitare
8571,1995,Honeymoon Suite,Feel It Again
8572,1997,Letters To Cleo,Sparklegirl (Album Version)
8573,1995,Deine Lakaien,Down_ Down_ Down
8574,2006,Shooter Jennings,Aviators
8575,2001,Eastern Standard Time,That Girl
8576,1990,Goo Goo Dolls,Two Days in February
8577,2006,Aereogramme,Barriers
8578,1997,The Muffs,Pacer
8579,2000,Bleeding Hearts,Conspiracy
8580,2007,Josey Wales,Wrong Move
8581,2003,Edenbridge,Perennial Dreams
8582,2004,Brian Bromberg,Bobblehead
8583,2005,Monster Movie,summer is a coming in
8584,2006,Militant Cheerleaders On The Move,Compop
8585,2003,Williamson,A Pleasant Goodbye From Whore
8586,2005,Daedelus,Just Briefly
8587,2003,Balzac,Thirteen (Album Version)
8588,2004,Submersed,Flicker
8589,1990,The Waterboys,Further Up Further In (2008 Digital Remaster)
8590,2003,The Black Noodle Project,Do it alone
8591,2003,PeterLicht,Die Geschichte vom Sommer
8592,2008,Deadbeat,Freeze
8593,2007,Crashdiet,Bound To Be Enslaved
8594,2005,The Mars Volta,Cygnus...Vismund Cygnus
8595,2009,The Grouch & Eligh,Worried about the World (feat. Mike Marshall & Sage Francis)
8596,2009,Ini Kamoze,Isgonbehot
8597,1998,Cry Cry Cry,Speaking With the Angel
8598,1995,Billie Jo Spears,Silver Threads And Golden Needles
8599,2008,Logistics,Reality Checkpoint
8600,2004,Freestylers,Too Far
8601,2005,Robert Glasper,Centerlude
8602,2008,The Disco Boys,Lunatic
8603,2000,Orange Goblin,Hot Magic_ Red Planet
8604,1999,Muffler,Float
8605,1995,Teenage Fanclub,Neil Jung
8606,1995,Charles Aznavour,Il pleut
8607,2006,Belbury Poly,Your Way Today
8608,2008,Ringo Deathstarr,Swirly
8609,1994,Ten Foot Pole,Think Of Tomorrow
8610,2003,Evergrey,End of your days
8611,1995,Coleman Hawkins,Crazy Rhythm
8612,2008,Blk Jks,Lakeside
8613,2007,Noe Venable,Into the Wild
8614,2001,Jordan Rudess,Quantum Soup
8615,1999,Long Beach Dub Allstars,Soldiers
8616,2005,Bain Mattox,Prizefighter
8617,2008,Four Tet,Wing Body Wing
8618,1999,Clinic,The Second Line
8619,2007,Saigon,Whispers
8620,2001,Luther Allison,San-Ho-Zay
8621,2005,Beyond Twilight,Be Careful It's My Head Too
8622,2004,Sickboy,Fist Up In The Air
8623,1991,Howlin' Wolf,Bluebird
8624,2007,Tom Brosseau,My Peggy Dear
8625,2009,Rhythms Del Mundo,Purple Haze
8626,2006,The Knights of the New Crusade,Lipstick Lesbian
8627,1992,C.J. Chenier,My Baby Don't Wear No Shoes
8628,2003,Moya Brennan,Is It Now
8629,1997,Lida Husik,Sharon Hill Shadows
8630,2001,Krisiun,Saviours Blood
8631,2009,Jori Hulkkonen,Boying In the Smokeroom
8632,2007,Peter Sommer,Rødt Kort
8633,1995,The Cardigans,Carnival
8634,2002,Guus Meeuwis,Voor Haar
8635,2006,Leaether Strip,Slam (The Happy Dance Version)
8636,2009,Prefab Sprout,Meet The New Mozart
8637,1995,Saigon Kick,Intro
8638,2009,J Dilla,Milk Money
8639,2003,Line Renaud,Tire l'aiguille
8640,2003,Yuppie Flu,Food for the Ants
8641,2003,Rasco,Real Hot
8642,2006,Sefyu,Goulags
8643,1998,Craig's Brother,Nobody
8644,2000,Ludacris,Come on Over (Skit)
8645,2009,Pacha Massive,Tonight
8646,1995,Shakira,Un Poco De Amor
8647,1995,David Toop,The Darkened Room
8648,1996,Gerald Veasley,Highway Home
8649,2007,Thirsty Merc,Midnight Sun
8650,2006,Halou,Today
8651,1999,Letzte Instanz,Für immer und ewig
8652,2009,The Cliks,We Are The Wolverines (CD)
8653,1996,Almanac Singers,House Of The Rising Sun
8654,2005,The Unseen,The End Is Near (Album Version)
8655,2008,Daddy Yankee,Suelta
8656,1998,Insane Clown Posse,Piggy Pie (Old School)
8657,2009,Master Margherita,For Aldo
8658,1998,Nick Glennie-Smith,The Rose
8659,1997,Radiorama,Aliens
8660,1994,Greg Kihn,Gwabi
8661,1995,Guster,Window
8662,2008,Attic Lights,Wendy
8663,2010,Vargo,Precious Part One
8664,1994,The Balanescu Quartet,Democracy
8665,1999,The Yobs,Rub A Dum Dum
8666,2003,Alternative TV,Fellow Sufferer
8667,2005,The Mint Chicks,Silver Homeless Man
8668,1993,Arpeggiators,Freedom of Expression
8669,2002,GNR,24 Rodas
8670,2010,Savage Grace,Master Of Disguise
8671,2010,Thomas Brinkmann,Walk With Me
8672,2003,Les Nubians,Amour À Mort
8673,2006,JVOX,Sbronx
8674,1991,Lamont Dozier,I Wanna Hold You Forever (LP Version)
8675,2005,The Defloristics,Can't let go
8676,2007,Songs Of Lemuria,Waterdrops
8677,2007,The El Dorados,Three Reasons Why
8678,2008,Danny Byrd,Supersized
8679,1999,Thee Maddkatt Courtship III,Cinematik
8680,1996,Discount,Lights Out
8681,2006,Dorsey Burnette,They're Only Words
8682,2009,Zombie Nation,Worth It
8683,2000,Regurgitate,Relentless Pursuit of Rotting Flesh
8684,2009,The Cribs,We Were Aborted
8685,2006,Corinne Bailey Rae,I'd Like To
8686,1992,The Manhattan Transfer,A Christmas Love Song
8687,2003,Mirco de Govia,Aura Indigo
8688,2001,Quantic,Fresh Rhythm
8689,2010,Valerio Scanu,Il Dio D'America
8690,1996,Paulinho Da Viola,Quando O Samba Chama
8691,2000,Dwight Yoakam,The Sad Side Of Town (LP Version)
8692,1995,Deftones,Fireal (LP Version)
8693,2001,Fela Kuti,Swegbe And Pako
8694,2008,Váradi Roma Café,Azért_ mert nem vagy enyém
8695,2008,Building 429,Your Love Goes On
8696,2001,Beres Hammond,Rise & Shine
8697,2007,Klute,TSA
8698,1995,Red Hot Chili Peppers,Warped (Album Version)
8699,2008,Melanie Fiona,Give It To Me Right
8700,2007,Dennis Ferrer feat. Mia Tuttavilla,Touched The Sky
8701,2008,Isobel Campbell / Mark Lanegan,Sand
8702,2000,Capercaillie,Michael's Matches
8703,2007,Coph Nia,Hymn to Lucifer
8704,2008,Left Lane Cruiser,Wash It
8705,2000,Mauro Picotto,Komodo - Megamind Mix
8706,1997,M People,Rhythm And Blues
8707,1996,Earl Brutus,Your Majesty We Are Here
8708,2008,Deitrick Haddon,Running To You
8709,2003,Usurp Synapse,I Know A Guy Who Likes Dynamite
8710,1997,Flanders,Weighed Down
8711,2010,Los Campesinos!,A Heat Rash In The Shape Of The Show Me State; Or_ Letters From Me To Charlotte
8712,2003,Home Made Mutant,Do nebe bez tebe
8713,2002,Carly Simon,Pretty Paper
8714,2005,Roots Manuva,Too Cold
8715,1996,Neneh Cherry,Feel It
8716,2000,Scariot,Remains Of A Dream
8717,2010,Golden Bug,Flamingo
8718,1998,Tijuana No!,Sin Tierra
8719,2008,Relient K,The Vinyl Countdown (Album Version)
8720,2003,Les Ogres De Barback,Le temps
8721,2005,Le Peuple de L'Herbe,Down by Law
8722,2003,Fountains Of Wayne,Hung Up On You
8723,2006,Eskju Divine,Strike Back
8724,1999,Lightnin' Hopkins,Ticket Agent
8725,2005,Hanne Hukkelberg,The Professor (Live)
8726,2007,Josh Rouse,Sweetie
8727,1998,Unbelievable Truth,Circle
8728,1998,DMX,We Don't Give A Fuck
8729,2002,Wolfbrigade,The Life Cycle Will Turn II
8730,2004,Macaco,Caminero
8731,2000,Bellini,Arriba Allez
8732,2008,Amsterdam Klezmer Band,Netty
8733,2009,Mariah Carey,Obsessed
8734,2000,E.C. Scott,Living For The Weekend
8735,2009,Madonna,Revolver [feat. Lil Wayne]
8736,2008,Chase & Status,Judgement (Informer)
8737,2001,Mannheim Steamroller,Auld Lang Syne
8738,2000,Nouvelle,Céu do Brasil
8739,2002,Tift Merritt,Supposed To Make You Happy
8740,2004,Toni Kater,Liebe ist
8741,2006,Scar Symmetry,Pitch Black Progress
8742,2000,Ireen Sheer,Das schönste Gefühl der Welt
8743,2002,Ms. Jade / Jay-Z,Count It Off
8744,1997,Aquasky,Orange Dust
8745,2006,Lola Beltrán,Cucurrucucu Paloma
8746,1997,K-Ci & JoJo,Still Waiting
8747,2001,Tantric,All To Myself (Album Version)
8748,2008,Gabriella Cilmi,Sweet About Me
8749,2000,Nação Zumbi,del chifre's beach
8750,1992,808 State,Plan 9
8751,1992,"Arthur ""Big Boy"" Crudup",I'm In The Mood
8752,2003,Patrick Park,Something Pretty
8753,2007,MIMS,Where I Belong
8754,2002,Queens Of The Stone Age,Everybody's Gonna Be Happy
8755,2009,St. Vincent,Actor Out Of Work
8756,2010,Alesana,The Thespian
8757,2008,Clare Teal,Begin The Beguine
8758,1993,Doro,Alles Ist Gut
8759,2003,Jimmy Thackery,Jimmy's Detroit Boogie
8760,1998,BENEDICTION,West Of Hell
8761,2009,De Staat,Habibi
8762,2006,Héroes del Silencio,Opio (Ganges Vals Version)
8763,2008,Thrice,The Lion And The Wolf
8764,1995,Infiniti,Game One
8765,2007,DJ Shah,Barbecue With Friends
8766,1997,EPMD / Das Efx,Intrigued
8767,2000,Sam Mangwana,Keba Na Liberte
8768,2008,Mike Sheridan,I syv sind
8769,1998,Bob Log III,String Around A Stick
8770,2003,Katie Melua,Mockingbird Song
8771,2008,Paolo Meneguzzi,Email
8772,2007,The Slackers,Wanted Man
8773,2006,Michael Giacchino,Run Like_ Um... Hell?
8774,2002,Dropkick Murphys,For Boston (Album Version)
8775,2007,Nightech,Acusticophobia
8776,2008,Mathias Kaden,Saloee
8777,1999,The Flower Kings,Ghost of the red cloud
8778,2001,The Autumns,Slow Kiss
8779,2003,Pascal Obispo,D'Un Piano A L'Autre (C'Est La Musique)
8780,2003,JFA,Skateboard (Live)
8781,1996,Sheep on Drugs,Comatose
8782,1999,Speaker,Trainstations
8783,2005,Crazy Frog,Magic Melody
8784,2008,The Transmissionary Six,Finders Keepers
8785,2003,Static-X,New Pain (Album Version)
8786,2005,Candido Fabré Y Su Banda,De Cuba Vengo Y Cubano Soy
8787,2005,Irene Grandi,Lady picche
8788,2006,Chris Thile,Wayside - Back In Time
8789,2010,Natalie Merchant,If No One Ever Marries Me
8790,2003,Ben Klock,Tag Der Arbeit
8791,1999,Tal Bachman,Looks Like Rain
8792,2002,Patricia Manterola,Libre
8793,1995,Skankin' Pickle,Fights (live)
8794,2001,Bertine Zetlitz,Closer
8795,2004,Assembly of Dust,Roads
8796,2004,Happoradio,Tanssi
8797,2008,Kosmo Koslowski,Der Kleine Junge Mit der Grossen Axt
8798,2007,Jump5,Star-Spangled Banner (Hello & Goodbye album version)
8799,1995,Molella,Change
8800,2003,Frog Eyes,One in Six Children Will Flee In Boats
8801,1995,DAVE MATTHEWS BAND,Two Step
8802,2003,The Juliana Theory,DTM
8803,2005,Head Wound City,Michael J. Fox Featuring Gnarls In Charge
8804,2000,Christy Nockels,Breathe
8805,2006,Paulo Flores,Menino destino
8806,2003,Sunk Loto,Help
8807,1999,Aromabar,Catch Her Flame
8808,2003,G-Unit,I'm So Hood
8809,1999,Raz Ohara,Jane Flame
8810,2005,Symphorce,Everlasting Life
8811,2009,Medlz,Entspann dich
8812,1999,Audio Lotion,Jacuzzi Jazz
8813,2006,Hayley Westenra,One Fine Day
8814,2007,Jackson Conti,Upa Neguinho
8815,2005,Svadbas,Glavom Kroz Zid
8816,2009,NEEDTOBREATHE,Valley Of Tomorrow (Album Version)
8817,1994,Aswad,Shine
8818,2008,Kokolo,Soul Power
8819,1998,John Fogerty,Who'll Stop The Rain
8820,1995,Elvis Costello,I Threw It All Away
8821,2009,William Orbit,My Oracle Lives Uptown
8822,2010,Iyaz,Replay (Album Version)
8823,2010,The Courteeners,Take Over The World
8824,2007,Rumskib,Dreampoppers Tribute
8825,2005,Atrium Carceri,Enclosed World / Liberation
8826,2003,Too Rude,The Call
8827,2007,Alfa Rococo,Je pense à toi
8828,2004,Morthem Vlade Art,Absente Terebenthine
8829,2006,5.6.7.8's,cuckoo
8830,2004,Adina Howard,What You Need
8831,2001,Radio 4,Caroline
8832,1992,Soul II Soul,Mood
8833,1998,Lisa Ekdahl,Now Or Never
8834,2009,Alberta Cross,City Walls
8835,1999,Saian Supa Crew,Maladie
8836,1991,Ugly Kid Joe,Everything About You
8837,2005,Acid King,On To Everafter
8838,1993,Onyx,Slam
8839,1999,The Robustos,Brumby St
8840,2006,Jonathan Coulton,Chiron Beta Prime
8841,2007,Demiricous,Acid Lung
8842,1995,Greta Y Los Garbo,Vivire
8843,2010,BT,Rose of Jericho
8844,2006,Delain,Shattered (Album Version)
8845,2006,The Junior Varsity,Everyone's Got Something They're Running Out Of (Acoustic Version)
8846,2005,Roots Manuva,Colossal Insight
8847,2007,Das Oath,Disney Surgery
8848,2006,Fontella Bass,I Can't Rest
8849,2006,Dislocation Dance,Under One And Over
8850,2007,Norah Jones,Thinking About You
8851,1998,SUCH A SURGE,Ma chair et mon sang
8852,1993,Alphonse Mouzon,Waterfall
8853,2000,Rachel Portman,Vianne Confronts the Comte
8854,2007,Shaila Dúrcal,Volver Volver
8855,2003,Uncle Tupelo,Left In The Dark
8856,1999,Tanzwut,Auferstehung
8857,1995,Eddie Izzard,Horror Movies
8858,1994,The Lucksmiths,Victor Trumper
8859,2000,Moltheni,In Centro All'Orgoglio
8860,2007,Deerhoof,The Perfect Me
8861,2004,Winds,Beyond Fate
8862,2001,Unearth,One Step Away
8863,2005,Mest,Dying For You (Album Version)
8864,2002,Ballboy,A Europewide Search For Love
8865,2001,Misconduct,Words of Anger_ Words of Fear
8866,2010,Chew Lips,Play Together
8867,2001,Bobby Womack,Don't Make This The Last Date For You And Me
8868,2005,Madball,Darkest Days
8869,2001,Junkyard,Misery
8870,2005,Carlos Baute,Tu me quemas
8871,1995,Melodie MC,Vibe
8872,2005,Waylon Malloy Payne,Lewis Boogie
8873,2006,Mastodon,Circle Of Cysquatch [Live Version]
8874,2008,Showbread,The Sky
8875,2006,Placebo,Follow The Cops Back Home
8876,2005,Biohazard,My Life my Way
8877,2001,Embodyment,Binge And Purge
8878,1993,Primus,The Air Is Getting Slippery
8879,1995,Captain Hollywood Project,One Love
8880,2003,Freeland,Supernatural Thing (Adam & The Evils Mix)
8881,1998,Veruca Salt,Somebody
8882,1995,Christine Anu,Come On
8883,2008,Oliver Kalkofe,Kapitel 7
8884,1997,17 Hippies,Jovano Jovanke
8885,2005,Gyroscope,Don't Let The Light In
8886,2006,Evangelicals,A Mouthful Of Skeletons
8887,2002,MHz,Rain
8888,2008,Home Of The Lame,A Narrow Path
8889,2008,Primary 1,Hold Me Down (Yuksek Remix)
8890,1999,Blood For Blood,Spit My Last Breath (Demo)
8891,2007,Imperia,Norway
8892,1994,The Adicts,The Odd Couple
8893,1990,Victims Family,Mousetrap
8894,2004,Blue Foundation,End Of The Day (Silence)
8895,2001,Jose Padilla,Karyn
8896,2005,Ray J,Blue High Heels
8897,2003,ALL SHALL PERISH,The spreading disease
8898,1998,Michael Franks with Brenda Russell,When I Give My Love To You (Album Version)
8899,2008,Headless Heroes,See My Love (Album Version)
8900,2009,Vanessa Williams,Come On Strong
8901,2009,Cristian Marchi Feat. Dr Feelx,Love Sex American Express
8902,1999,Luscious Jackson,Nervous Breakthrough
8903,2002,Perry Como,If You Were The Only Girl In The World
8904,1990,Captain Gumbo,Toot toot
8905,2007,Onslaught,Killing Peace
8906,1997,Nana Mouskouri,Le Temps Qu'Il Nous Reste
8907,1995,Lordz Of Brooklyn,Brooklyn Pride
8908,2005,Ammoncontact,It Started As a Remix For Elvin
8909,2009,Japandroids,Sovereighnty
8910,1997,Frumpies,Be Good
8911,2008,Mes Aïeux,Le déni de l'évidence
8912,2009,Christmas Island,Red Island
8913,1995,Winston McAnuff,One Love - Original
8914,2000,The Weakerthans,Left And Leaving (Album Version)
8915,2000,Ronan Keating,Believe
8916,2001,Hamster Theatre,The Cat Song
8917,1999,Jennifer Lopez,Talk About Us
8918,2006,Lloyd Cole,How Wrong Can You Be?
8919,1993,Melanie,Silence Is King
8920,2006,Lyfe Jennings featuring LaLa Brown,S.E.X.
8921,2008,Tiziano Ferro,La Traversata Dell'Estate
8922,2009,The Kissaway Trail,Philadelphia
8923,2006,Lewie Day,Striptease
8924,2009,Mount Eerie,Between Two Mysteries
8925,2009,Victimas Del Dr Cerebro,Cadaver del amor
8926,2005,Darin,Encore_ Otra Vez_ 1 More Time
8927,2006,Caribou (formerly Dan Snaith's Manitoba),Evan Likes Driving
8928,1996,Los Ronaldos,Saca la lengua
8929,1994,Ben Tankard,What Is This
8930,2001,MDO,Lock All The Doors
8931,1999,The Rurals,No Sunshine
8932,1999,Styles Of Beyond,Style Warz
8933,1999,Hepburn,Deep Deep Down
8934,1994,Sheryl Crow,Solitaire
8935,2009,The Orb,Dolly Unit
8936,1994,Thee Headcoatees,Round Every Corner
8937,2006,John Debney,Zac Attempts Potion
8938,2000,Webb Pierce,Honky Tonk Song
8939,2003,UNKLE,In A State
8940,2001,Rise Against,Faint Resemblance
8941,2007,Linkin Park,Given Up [Third Encore Session]
8942,2005,The Posies,All In A Day's Work (Album Version)
8943,2010,Treaty Of Paris,The Aftermath
8944,2009,Diving With Andy,Kate Weal_ Johnny Call & Mr Rose
8945,1991,Pearl Jam,Alive
8946,2009,Pastels/Tenniscoats,Yomigaeru
8947,2003,Green Carnation,Crushed To Dust
8948,2008,No Age,Don't Stand Still (Album)
8949,1990,Walter Trout,Cold Cold Feeling - (live)
8950,1998,The Glitter Band,Love In The Sun
8951,2005,BLEED THE SKY,Division
8952,2004,Big Tuck,Bad Newz
8953,2007,Earthless,Cherry Red (Groundhogs Cover)
8954,2004,Outputmessage,Tossing & Turning
8955,2006,Imaad Wasif,Coil
8956,2006,Lowlife,Swing
8957,2008,The Hold Steady,Slapped Actress
8958,1990,Slayer,Born Of Fire
8959,2001,Alexkid,Esmeralda - Meet You At The Fun Fair
8960,2010,Shy Child,Liquid Love
8961,2007,Cibo Matto,Birthday Cake (2006 Remastered Album Version)
8962,1992,Maura O'connell,So Soft Your Goodbye (Album Version)
8963,2009,R.I.O.,After The Love
8964,1998,Mr. Scruff,Fish
8965,2007,Glass Candy,Candy Castle
8966,1996,Shirley Gunter & The Queens,Oop Shoop
8967,2007,Iller Than Theirs,To Be Ill
8968,2002,Natasha St-Pier,Nos Rendez-Vous
8969,2005,Thirteenth Exile,Diseasespreader
8970,1996,Sileas,Dr Florence Of Jammalamadugu/Duncan Johnstone
8971,1992,The Coal Porters,The Light That Shines Within
8972,1999,Roger Clyne & The Peacemakers,Jack Vs. Jose
8973,1998,Molesta,Outro
8974,1997,Sarah McLachlan,Angel
8975,2010,All Leather,I Do It With My Prick Out
8976,2005,No Use For A Name,Overdue
8977,2002,Cattle Decapitation,Land Of The Severed Meatus
8978,2003,A-Ha,The Sun Always Shines On TV - Live
8979,2005,Niños Mutantes,El fuego dentro
8980,2009,James Pants,Seven Seals Theme
8981,1994,Skank,Estivador
8982,1990,Richard Clayderman,My Way
8983,2008,Above The Golden State,All My Heart
8984,1992,The Future Sound of London,Papua New Guinea (Dub Mix)
8985,2002,Jessica Simpson,Part Of Your World
8986,1997,Jimmy Barnes,Higher And Higher
8987,2005,Fort Minor,Introduction (Album Version)
8988,2009,Frankmusik,Better Off As 2
8989,2003,Ludacris,Diamond In The Back
8990,1995,The Ballistic Brothers,Sister Song (Album Version)
8991,1998,Unsane,Lead
8992,2005,John Ottman,Battling Doom
8993,2004,Stefan Sundström,Vill Du Inte Ha Mig
8994,2004,Sign of the Times,Point Blank
8995,2006,Gerald Albright,Take Your time
8996,1993,Ghorwane,Buluku
